X,Y
2.11325061768e-06,9.77913813705e-09
6.33254141135e-08,2.11359432143e-06
5.38216491156e-09,6.33408010983e-08
2.11409178516e-06,4.96799691358e-09
6.33673985795e-08,2.11498163516e-06
7.61628056679e-09,6.33837398628e-08
2.11549741127e-06,5.86237929721e-09
6.33975693086e-08,2.11615587657e-06
6.31559615567e-09,6.34282004507e-08
2.11717254731e-06,8.95122118245e-09
6.34422325012e-08,2.11786342557e-06
7.62243652616e-09,6.34607296865e-08
2.11874434848e-06,8.49581295977e-09
6.34688310052e-08,2.11952665956e-06
8.04989233152e-09,6.35100968112e-08
2.12057034074e-06,9.79494665732e-09
6.35405374389e-08,2.12109357486e-06
6.71054029148e-09,6.35468148533e-08
2.12128126249e-06,3.21333311738e-09
6.35505899012e-08,2.12195170957e-06
5.44535953158e-09,6.36017576938e-08
2.12368134384e-06,1.37755289645e-08
6.36136710674e-08,2.12401213427e-06
6.71591864765e-09,6.36344965753e-08
2.12468883566e-06,6.72489073643e-09
6.36429336427e-08,2.12543492398e-06
7.17014412996e-09,6.36739219677e-08
2.12645926893e-06,9.36107949664e-09
6.36860215738e-08,2.12706663219e-06
7.15747684595e-09,6.37137112077e-08
2.12797659091e-06,8.47469683243e-09
6.3728716018e-08,2.1284436572e-06
5.84114480687e-09,6.37509574461e-08
2.12947406832e-06,8.92080847007e-09
6.37594502124e-08,2.13029631763e-06
8.47278407001e-09,6.38023920165e-08
2.13137923779e-06,1.02142901151e-08
6.37985063591e-08,2.13145296834e-06
3.62536165855e-09,6.38409082329e-08
2.13290357719e-06,1.11054760884e-08
6.38544595231e-08,2.13329942275e-06
6.26106912981e-09,6.38830317102e-08
2.1342450671e-06,8.46197051614e-09
6.38880188417e-08,2.13453113526e-06
4.51426956814e-09,6.39273034856e-08
2.13556619778e-06,8.48317172519e-09
6.39293436528e-08,2.13597088596e-06
5.41244077651e-09,6.40000740323e-08
2.13727767429e-06,1.06832545582e-08
6.39945827953e-08,2.13701621281e-06
1.46288892284e-09,6.40088896335e-08
2.13790247538e-06,6.32971965137e-09
6.40432876201e-08,2.13903318079e-06
9.83792796578e-09,6.40531262814e-08
2.13956173313e-06,6.75167321443e-09
6.40685071165e-08,2.14073257178e-06
1.02581643868e-08,6.40762272529e-08
2.14155069385e-06,8.92226464345e-09
6.40903327973e-08,2.14273651389e-06
1.10990692566e-08,6.41409561725e-08
2.14399611351e-06,1.23815760378e-08
6.41365445862e-08,2.14408411985e-06
4.46356045346e-09,6.41791671795e-08
2.14554648828e-06,1.14998061196e-08
6.4188964822e-08,2.14580198319e-06
5.34218073113e-09,6.42406104393e-08
2.14691626034e-06,9.30735412376e-09
6.4244160972e-08,2.14715785305e-06
4.48046601757e-09,6.42842961768e-08
2.14849995572e-06,1.06403750239e-08
6.42902530029e-08,2.14885655953e-06
5.8032814508e-09,6.43346616403e-08
2.15001104158e-06,9.76119801475e-09
6.43432103722e-08,2.15047900536e-06
6.24328548582e-09,6.43793103439e-08
2.15167290527e-06,1.01979537858e-08
6.43899720921e-08,2.15199458751e-06
5.36127347459e-09,6.44045424981e-08
2.15267756723e-06,6.26211951388e-09
6.44145227553e-08,2.15350050399e-06
7.58879273696e-09,6.4423739042e-08
2.15432568395e-06,8.02930939642e-09
6.4453810016e-08,2.15573892683e-06
1.24031305569e-08,6.44733628857e-08
2.15669385831e-06,1.06150922814e-08
6.44894827824e-08,2.15748105441e-06
8.84178113206e-09,6.45065295626e-08
2.15830332424e-06,8.399349263e-09
6.45172954545e-08,2.15883185651e-06
6.21169511607e-09,6.45508145598e-08
2.15996363861e-06,9.73122124075e-09
6.45564690615e-08,2.16061336031e-06
7.53034964135e-09,6.45984620808e-08
2.16168885864e-06,9.72589304949e-09
